sub_1_hc_p,sub_1_r1_p,sub_1_r2_p,sub_1_hc_m,sub_1_r1_m,sub_1_r2_m,sub_1_hc_o,sub_1_r1_o,sub_1_r2_o,sub_2_hc_p,sub_2_r1_p,sub_2_r2_p,sub_2_hc_m,sub_2_r1_m,sub_2_r2_m,sub_2_hc_o,sub_2_r1_o,sub_2_r2_o,egc1_en,egc2_en
-0.28,1.1249505,7.514805426755832e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.47,1.687530903437497,0.1874999998958356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
-0.28,1.1249505,7.514805426755832e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.39,2.852087523424297,0.1479206799090358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.47,1.687530903437497,0.1874999998958355,0.0,0.0,0.0,-0.021,1.1249505,7.514805426755832e-34,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,2.04,3.44
0.47,1.687530903437497,0.1874999998958355,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,2.04,3.44
0.39,2.852087523424297,0.1479206799090358,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,3.566922441614622,1.053544326242521,0,0,0,0.0,0.0,0.0,3.44,2.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.687530903437497,0.1874999998958356,0,0,0,0.0,0.0,0.0,3.44,2.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,2.04,3.44
-0.83,1.687530903437497,0.1874999998958356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
-0.83,1.687530903437497,0.1874999998958356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,0.02475,2.024981001702394,0.9000123616309397,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,0.02475,2.024981001702394,0.9000123616309397,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,-0.021,1.1249505,7.514805426755832e-34,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,-0.021,1.1249505,7.514805426755832e-34,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,-0.00075,1.35,1.3499208,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,-0.00075,1.35,1.3499208,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,2.04,3.44
-0.28,1.1249505,7.514805426755832e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
-0.28,1.1249505,7.514805426755832e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.39,2.852087523424297,0.1479206799090358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.012750000000000001,1.35,1.3499208,3.98,2.04
-0.28,1.1249505,7.514805426755832e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.012750000000000001,1.35,1.3499208,3.98,2.04
-0.83,1.687530903437497,0.1874999998958356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.012750000000000001,1.35,1.3499208,3.98,2.04
0.45,4.218827257031248,0.1687499999687506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.23,5.420772069443482,0.9229091805565192,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.04,3.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,3.44,1.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03375,4.218827257031248,0.1687499999687506,3.44,1.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,2.953125000093752,2.01564026101736,0,0,0,0.0,0.0,0.0,3.44,1.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,1.35,1.3499208,0,0,0,0.0,0.0,0.0,3.44,1.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,1.1249505,7.514805426755832e-34,0,0,0,0.0,0.0,0.0,3.98,1.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,2.953125000093752,2.01564026101736,0,0,0,0.0,0.0,0.0,3.98,1.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,1.35,1.3499208,0,0,0,0.0,0.0,0.0,3.98,1.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,3.716728115548078,0.708309807451921,0,0,0,0.0,0.0,0.0,3.98,1.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.83,1.687530903437497,0.1874999998958356,0,0,0,0.0,0.0,0.0,3.98,1.61
-0.28,1.1249505,7.514805426755832e-34,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,1.35,1.3499208,0,0,0,0.0,0.0,0.0,3.98,1.61
